velocity,Reynolds_number,pressure,flow_type
0.2,400.0,101315.0,laminar
0.23,460.0,101313.5,laminar
0.26,520.0,101312.0,laminar
0.29,580.0,101310.5,laminar
0.32,640.0,101309.0,laminar
0.35,700.0,101307.5,laminar
0.38,760.0,101306.0,laminar
0.41,820.0,101304.5,laminar
0.44,880.0,101303.0,laminar
0.47,940.0,101301.5,laminar
0.5,1000.0,101300.0,laminar
0.53,1060.0,101298.5,laminar
0.56,1120.0,101297.0,laminar
0.59,1180.0,101295.5,laminar
0.62,1240.0,101294.0,laminar
0.65,1300.0,101292.5,laminar
0.68,1360.0,101291.0,laminar
0.71,1420.0,101289.5,laminar
0.74,1480.0,101288.0,laminar
0.77,1540.0,101286.5,laminar
0.8,1600.0,101285.0,laminar
0.83,1660.0,101283.5,laminar
0.86,1720.0,101282.0,laminar
0.89,1780.0,101280.5,laminar
0.92,1840.0,101279.0,laminar
0.95,1900.0,101277.5,laminar
0.98,1960.0,101276.0,laminar
1.01,2020.0,101274.5,laminar
1.04,2080.0,101273.0,laminar
1.07,2140.0,101271.5,laminar
1.1,2200.0,101270.0,laminar
1.13,2260.0,101268.5,laminar
1.16,2320.0,101267.0,laminar
1.19,2380.0,101265.5,laminar
1.22,2440.0,101264.0,laminar
1.25,2500.0,101262.5,laminar
1.28,2560.0,101261.0,laminar
1.31,2620.0,101259.5,laminar
1.34,2680.0,101258.0,laminar
1.37,2740.0,101256.5,laminar
1.4,2800.0,101255.0,laminar
1.43,2860.0,101253.5,laminar
1.46,2920.0,101252.0,laminar
1.49,2980.0,101250.5,laminar
1.52,3040.0,101249.0,laminar
1.55,3100.0,101247.5,laminar
1.58,3160.0,101246.0,laminar
1.61,3220.0,101244.5,laminar
1.64,3280.0,101243.0,laminar
1.67,3340.0,101241.5,laminar
1.7,3400.0,101240.0,laminar
1.73,3460.0,101238.5,laminar
1.76,3520.0,101237.0,laminar
1.79,3580.0,101235.5,laminar
1.82,3640.0,101234.0,laminar
1.85,3700.0,101232.5,laminar
1.88,3760.0,101231.0,laminar
1.91,3820.0,101229.5,laminar
1.94,3880.0,101228.0,laminar
1.97,3940.0,101226.5,laminar
2.0,4000.0,101225.0,laminar
2.03,4060.0,101223.5,laminar
2.06,4120.0,101222.0,laminar
2.09,4180.0,101220.5,laminar
2.12,4240.0,101219.0,laminar
2.15,4300.0,101217.5,laminar
2.18,4360.0,101216.0,laminar
2.21,4420.0,101214.5,laminar
2.24,4480.0,101213.0,laminar
2.27,4540.0,101211.5,laminar
2.3,4600.0,101210.0,laminar
2.33,4660.0,101208.5,laminar
2.36,4720.0,101207.0,laminar
2.39,4780.0,101205.5,laminar
2.42,4840.0,101204.0,laminar
2.45,4900.0,101202.5,laminar
2.48,4960.0,101201.0,laminar
2.51,5020.0,101199.5,laminar
2.54,5080.0,101198.0,laminar
2.57,5140.0,101196.5,laminar
2.6,5200.0,101195.0,laminar
2.63,5260.0,101193.5,laminar
2.66,5320.0,101192.0,laminar
2.69,5380.0,101190.5,laminar
2.72,5440.0,101189.0,laminar
2.75,5500.0,101187.5,laminar
2.78,5560.0,101186.0,laminar
2.81,5620.0,101184.5,laminar
2.84,5680.0,101183.0,laminar
2.87,5740.0,101181.5,laminar
2.9,5800.0,101180.0,laminar
2.93,5860.0,101178.5,laminar
2.96,5920.0,101177.0,laminar
2.99,5980.0,101175.5,laminar
3.0,6000.0,101145.0,turbulent
3.2,6400.0,101125.0,turbulent
3.4,6800.0,101105.0,turbulent
3.6,7200.0,101085.0,turbulent
3.8,7600.0,101065.0,turbulent
4.0,8000.0,101045.0,turbulent
4.2,8400.0,101025.0,turbulent
4.4,8800.0,101005.0,turbulent
4.6,9200.0,100985.0,turbulent
4.8,9600.0,100965.0,turbulent
5.0,10000.0,100945.0,turbulent
